"name","url"
"Curtin University of Technology","http://www.curtin.edu.au/"
"Deakin University","http://www.deakin.edu.au/"
"East Coast Gestalt","http://www.gestalt.org.au/"
"Edith Cowan University","http://www.ecu.edu.au/"
"Flinders University","http://www.flinders.edu.au/"
"Griffith University","http://www.griffith.edu.au/"
"Holmes Institute","http://www.holmes.edu.au/"
"International College of Hotel Management","http://www.ichm.edu.au/"
"International College of Management Sydney","http://www.icms.edu.au/"
"James Cook University","http://www.jcu.edu.au/"
"Jansen Newman Institute","http://www.jni.edu.au/"
"JMC Academy","http://www.jmcacademy.edu.au/"
"La Trobe University","http://www.latrobe.edu.au/"
"Macleay College","http://www.macleay.edu.au/"
"Macquarie University","http://www.mq.edu.au/"
"Marcus Oldham College","http://www.marcusoldham.vic.edu.au/"
"Melbourne Business School","http://www.mbs.edu/"
"Menzies School of Health Research","http://www.menzies.edu.au/"
"Monash University","http://www.monash.edu.au/"
"Moore Theological College","http://www.moore.edu.au/"
"Murdoch University","http://www.murdoch.edu.au/"
"National Institute of Dramatic Art","http://www.nida.edu.au/"
"Nature Care College","http://www.naturecare.com.au/"
"Nazarene Theological College","http://www.ntc.edu.au/"
"NSW College of Nursing","http://www.nursing.edu.au/"
"Queensland University of Technology","http://www.qut.edu.au/"
"Raffles College of Design and Commerce","http://www.raffles.edu.au/"
"RMIT University","http://www.rmit.edu.au/"
"Southbank Institute of Technology","http://www.southbank.edu.au/"
"Southern Cross University","http://www.scu.edu.au/"
"Swinburne University of Technology","http://www.swinburne.edu.au/"
"Sydney College of Divinity","http://www.scd.edu.au/"
"Sydney Institute of Business and Technology","http://www.sibt.nsw.edu.au/"
"Tabor College","http://www.tabornsw.edu.au/"
"The College of Law","http://www.collaw.edu.au/"
"University of Adelaide","http://www.adelaide.edu.au/"
"University of Ballarat","http://www.ballarat.edu.au/"
"University of Canberra","http://www.canberra.edu.au/"
"University of Melbourne","http://www.unimelb.edu.au/"
"University of New England Australia","http://www.une.edu.au/"
"University of New South Wales","http://www.unsw.edu.au/"
"University of Newcastle","http://www.newcastle.edu.au/"
"University of Notre Dame Australia","http://www.nd.edu.au/"
"University of Queensland","http://www.uq.edu.au/"
"University of South Australia","http://www.unisa.edu.au/"
"University of Southern Queensland","http://www.usq.edu.au/"
"University of Sydney","http://www.usyd.edu.au/"
"University of Tasmania","http://www.utas.edu.au/"
"University of Technology Sydney","http://www.uts.edu.au/"
"University of the Sunshine Coast","http://www.usc.edu.au/"
"University of Western Australia","http://www.uwa.edu.au/"
"University of Western Sydney","http://www.uws.edu.au/"
"University of Wollongong","http://www.uow.edu.au/"
"Victoria University","http://www.vu.edu.au/"
"Victorian College of Optometry","http://www.vco.org.au/"
"Victorian Institute of Forensic Medicine","http://www.vifm.org/"
"Wesley Institute","http://www.wesleyinstitute.edu.au/"
"Williams Business College","http://www.williams.edu.au/"
"Akademie der Bildenden Kunste Wien","http://www.akbild.ac.at/"
"Alpen Adria Universität Klagenfurt","http://www.uni-klu.ac.at/"
"Anton Bruckner Privatuniversität","http://www.bruckneruni.at/"
"Berufspädagogische Akademie Innsbruck","http://www.bpa-innsbruck.tsn.at/"
"Fachhochschule Campus Wien","http://www.fh-campuswien.ac.at/"
"Fachhochschule der Wirtschaft Campus Graz","http://www.campus02.at/"
"Fachhochschule des bfi Wien","http://www.fh-vie.ac.at/"
"Fachhochschule Joanneum","http://www.fh-joanneum.at/"
"Fachhochschule Krems","http://www.fh-krems.ac.at/"
"Fachhochschule Oberösterreich","http://www.fh-ooe.at/"
"Fachhochschule Saint Polten","http://www.fhstp.ac.at/"
"Fachhochschule Salzburg","http://www.fh-salzburg.ac.at/"
"Fachhochschule Technikum Kärnten","http://www.fh-kaernten.ac.at/"
"Fachhochschule Technikum Wien","http://www.technikum-wien.at/"
"Fachhochschule Vorarlberg","http://www.fhv.at/"
"Fachhochschule Wiener Neustadt","http://www.fhwn.ac.at/"
"Fachhochschulstudiengänge Burgenland","http://www.fh-burgenland.at/"
"FhWien Studienänge der WKW","http://www.fh-wien.ac.at/"
"Hochschule Kufstein","http://www.hsk-edu.at/"
"Holztechnikum Kuchl","http://www.holztechnikum.at/"
"Imadec University","http://www.imadec.ac.at/"
"Institut für Hohere Studien Wien","http://www.ihs.ac.at/"
"International Theological Institute","http://www.iti.ac.at/"
"International University Vienna","http://www.iuvienna.edu/"
"Johannes Kepler Universität Linz *","http://www.uni-linz.ac.at/"
"Joseph Haydn Konservatorium","http://www.haydnkons.at/"
"Karl Franzens Universität Graz *","http://www.uni-graz.at/"
"Katholisch Theologische Privatuniversität Linz *","http://www.ktu-linz.ac.at/"
"Konservatorium Wien University","http://www.konservatorium-wien.ac.at/"
"Kunstuniversität Graz","http://www.kug.ac.at/"
"Kunstuniversität Linz","http://www.ufg.ac.at/"
"Management Center Innsbruck","http://www.mci.edu/"
"Medizinische Universität Graz","http://www.meduni-graz.at/"
"Medizinische Universität Innsbruck","http://www.i-med.ac.at/"
"Medizinische Universität Wien","http://www.meduniwien.ac.at/"
"Modul University","http://www.modul.ac.at/"
"Montanuniversität Leoben *","http://www.unileoben.ac.at/"
"New Design University","http://www.ndu.ac.at/"
"Pädagogische Hochschule der Diözese Linz","http://www.phdl.at/"
"Pädagogische Hochschule Kärnten","http://www.ph-kaernten.ac.at/"
"Pädagogische Hochschule Niederösterreich","http://www.ph-noe.ac.at/"
"Pädagogische Hochschule Oberösterreich","http://www.ph-ooe.at/"
"Pädagogische Hochschule Salzburg","http://www.phsalzburg.at/"
"Pädagogische Hochschule Steiermark","http://www.phst.at/"
"Pädagogische Hochschule Tirol","http://www.ph-tirol.ac.at/"
"Pädagogische Hochschule Vorarlberg","http://www.ph-vorarlberg.ac.at/"
"Pädagogische Hochschule Wien","http://www.phwien.ac.at/"
"Paracelsus Medizinischen Privatuniversität","http://www.pmu.ac.at/"
"Pef Private University for Management","http://www.pef.at/"
"Private Universität fur Gesundheitswissenschaften Medizinische Informatik und Technik","http://www.umit.at/"
"Salzburg Management Business School","http://www.smbs.at/"
"Sigmund Freud Privatuniversität Wien","http://www.sfu.ac.at/"
"Technische Universität Graz","http://portal.tugraz.at/"
"Technische Universität Wien","http://www.tuwien.ac.at/"
"TGM Institute of Technology","http://www.tgm.ac.at/"
"Universität fur Angewandte Kunst Wien *","http://www.uni-ak.ac.at/"
"Universität fur Bodenkultur Wien","http://www.boku.ac.at/"
"Universität fur Musik und Darstellende Kunst Wien","http://www.mdw.ac.at/"
"Universität fur Weiterbildung Donau Universität Krems","http://www.donau-uni.ac.at/"
"Universität Innsbruck","http://www.uibk.ac.at/"
"Universität Mozarteum Salzburg","http://www.moz.ac.at/"
"Universität Salzburg","http://www.uni-salzburg.at/"
"Universität Wien","http://www.univie.ac.at/"
"Veterinarmedizinische Universität Wien","http://www.vu-wien.ac.at/"
"Vorarlberger Landeskonservatorium","http://www.vlk.ac.at/"
"Webster University Vienna","http://www.webster.ac.at/"
"Wirtschaftsuniversität Wien *","http://www.wu-wien.ac.at/"
"Azerbaijan International University","http://www.abu.az/"
"Azerbaijan Medical University","http://www.amu.edu.az/"
"Azerbaijan State Economic University","http://www.aseu.az/"
"Azerbaijan State Oil Academy *","http://adna.jis.az/"
"Azerbaijan State Pedagogical University","http://aspu.az/"
"Art","http://www.admiu.edu.az/"
"Azerbaijan Technical University","http://www.aztu.az/"
"Azerbaijan Tourism Institute","http://www.tourism.edu.az/"
"Azerbaijan University","http://www.au.edu.az/"
"Azerbaijan University of Languages","http://adu.edu.az/"
"Azerbaiyan Academy of Public Administration","http://www.dia.edu.az/"
"Azerbaiyan Police Academy","http://www.pa.edu.az/"
"Baku Business University","http://www.bbu.edu.az/"
"Baku Slavic University","http://www.bsu-az.org/"
"Baku State University","http://www.bsu.az/"
"Khazar University","http://www.khazar.org/"
"Lankaran State University","http://www.lsu.edu.az/"
"Nakhchivan Private University","http://www.az-npu.org/"
"Nakhchivan State University","http://www.ndu.edu.az/"
"National Aviation Academy","http://www.naa.edu.az/"
"Odlar Yurdu University","http://www.oyu.edu.az/"
"Qafqaz University","http://www.qafqaz.edu.az/"
"Sumqayit State University (Sumgait State University)","http://www.sdu.edu.az/"
"Western University","http://www.wu.edu.az/"
"College of the Bahamas","http://www.cob.edu.bs/"
"Ahlia University *","http://ahliauniversity.edu.bh/"
"Ama International University of Bahrain","http://www.amaiu.edu.bh/"
"Arab Open University Bahrain","http://www.aou.org.bh/"
"Arabian Gulf University","http://www.agu.edu.bh/"
"Birla Institute of Technology International Centre Bahrain","http://www.bitic.edu.bh/"
"College of Health Sciences Bahrain","http://www.chs.edu.bh/"
"Delmon University","http://www.delmonuniversity.com/"
"Gulf University","http://www.gulfuniversity.net/"
"New York Institute of Technology Bahrain","http://www.nyit.edu.bh/"
"RCSI Medical University of Bahrain","http://www.rcsi-mub.com/"
"Royal University for Women","http://www.ruw.edu.bh/"
"The Kingdom University","http://www.ku.edu.bh/"
"University College of Bahrain","http://www.ucb.edu.bh/"
"University of Bahrain *","http://www.uob.edu.bh/"
"Technology","http://www.aust.edu/"
"American International University Bangladesh","http://www.aiub.edu/"
"Armed Forces Medical College Dhaka","http://www.afmcbd.com/"
"Asian University for Women","http://www.asian-university.org/"
"Asian University of Bangladesh","http://www.aub-bd.org/"
"Technology","http://www.atishdipankaruniversity.edu.bd/"
"Bangabandhu Sheikh Mujib Medical University","http://www.bsmmu.org/"
"Bangabandhu Sheikh Mujibur Rahman Agricultural University","http://www.bsmrau.com/"
"Bangladesh Agricultural University","http://www.bau.edu.bd/"
"Bangladesh Islamic University","http://www.biu.ac.bd/"
"Bangladesh Open University","http://www.bou.edu.bd/"
"Bangladesh University","http://www.bangladeshuniversity.edu.bd/"
"Bangladesh University of Business and Technology","http://www.bubt.edu.bd/"
"Bangladesh University of Engineering and Technology","http://www.buet.ac.bd/"
"Brac University *","http://www.bracu.ac.bd/"
"Chittagong University of Engineering and Technology","http://www.cuet.ac.bd/"
"City University","http://www.cityuniversity.edu.bd/"
"Daffodil International University","http://www.daffodilvarsity.edu.bd/"
"Darul Ihsan University","http://www.diu.ac.bd/"
"Dhaka International University","http://www.diu.net.bd/"
"Technology","http://www.duet.ac.bd/"
"East Delta University","http://www.eastdelta.edu.bd/"
"East West University Bangladesh","http://www.ewubd.edu/"
"Eastern University","http://www.easternuni.edu.bd/"
"Green University of Bangladesh","http://www.gub.ac.bd/"
"Ibais University","http://www.ibais.edu/"
"Ibrahim Medical College","http://www.imc-bd.net/"
"Independent University Bangladesh","http://www.iub.edu.bd/"
"Institute of Statistical Research and Training University of Dhaka","http://www.isrt.ac.bd/"
"International Islamic University Chittagong","http://www.iiuc.ac.bd/"
"International University of Business Agriculture and Technology University of Dhaka","http://www.iubat.edu/"
"Islamic University Kushtia","http://www.iu.ac.bd/"
"Islamic University of Technology","http://www.iutoic-dhaka.edu/"
"Jagannath University","http://www.jnuni.net/"
"Jahangirnagar University","http://www.juniv.edu/"
"Khulna University","http://www.ku.ac.bd/"
"Technology","http://www.kuet.ac.bd/"
"Leading University","http://www.lus.ac.bd/"
"Manarat International University","http://www.manarat.ac.bd/"
"Mawlana Bhasani Science and Technology University","http://mbstu.ac.bd/"
"Metropolitan University Sylhet","http://www.metrouni.edu.bd/"
"Technology","http://www.mist-bd.org/"
"Mymensingh Medical College","http://www.mmc-edu.org/"
"National University of Bangladesh","http://www.nu.edu.bd/"
"Technology","http://www.nstu.edu.bd/"
"North South University Bangladesh","http://www.northsouth.edu/"
"Northern University Bangladesh","http://www.nub.ac.bd/"
"Patuakhali Science and Technology University","http://www.pstu.ac.bd/"
"Premier University Chittagong","http://www.pubd.net/"
"Presidency University","http://www.presidency.edu.bd/"
"Prime University","http://www.primeuniversitybd.com/"
"Pundra University of Science and Technology","http://www.pustbogra.com/"
"Queens University","http://www.queensuniversity.edu.bd/"
"Rajshahi Medical College","http://www.rmc.ac.bd/"
"Rajshahi University","http://www.ru.ac.bd/"
"Rajshahi University of Engineering and Technology","http://www.ruet.ac.bd/"
"Technology","http://www.sust.edu/"
"Sher-e-Bangla Agricultural University","http://www.sau.ac.bd/"
"Sir Salimullah Medical Medical College","http://www.ssmc.edu/"
"Southeast University","http://www.seu.ac.bd/"
"Southern University Bangladesh","http://www.southern-bd.info/"
